County Cod,State Code,Census Tra,Geoid,Holc Grade,Holc Id,Id,Map Id,Msamd,Municipali,Name,Polygon Id,St Name,State,Year,Geometry,Holc Area,Holc Prop,Sheets,Tract Prop
1,6,421200,6001421200,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.024296,1,0.019835825
1,6,402500,6001402500,D,D8,17,17,36084,,,6680,Oakland,CA,2019,Polygon,1.677309005,0.007479854,1,0.088914381
1,6,423602,6001423602,B,B8,17,17,36084,,,6681,Oakland,CA,2019,Polygon,0.464798786,0.1188328,1,0.35481824
1,6,400400,6001400400,B,B8,17,17,36084,,,6681,Oakland,CA,2019,Polygon,0.464798786,0.000154034,1,0.000263513
1,6,421200,6001421200,B,B1,17,17,36084,,,6659,Oakland,CA,2019,Polygon,0.097637388,0.003732287,1,0.00069621
1,6,421300,6001421300,B,B1,17,17,36084,,,6659,Oakland,CA,2019,Polygon,0.097637388,0.993030571,1,0.226919942
1,6,420600,6001420600,B,B6,17,17,36084,,,6661,Oakland,CA,2019,Polygon,0.032875577,3.91E-07,1,4.22E-08
1,6,424001,6001424001,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,7.38E-05,1,0.000374892
1,6,421500,6001421500,D,D1,17,17,36084,,,6664,Oakland,CA,2019,Polygon,0.087068132,0.899463412,1,0.127224688
1,6,422200,6001422200,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.000374719,1,0.0003657
1,6,422400,6001422400,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.289022192,1,0.400248364
1,6,421700,6001421700,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.191727202,1,0.220047619
1,6,425102,6001425102,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.000709496,1,0.003486108
1,6,400800,6001400800,D,D6,17,17,36084,,,6674,Oakland,CA,2019,Polygon,0.613439857,0.001321984,1,0.00302113
1,6,400800,6001400800,D,D4,17,17,36084,,,6675,Oakland,CA,2019,MultiPolygon,0.873331116,0.008949827,1,0.029118219
1,6,424001,6001424001,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.000496039,1,0.001280129
1,6,400700,6001400700,C,C8,17,17,36084,,,6678,Oakland,CA,2019,Polygon,0.095343002,0.005392552,1,0.001512338
1,6,425104,6001425104,D,D8,17,17,36084,,,6680,Oakland,CA,2019,Polygon,1.677309005,0.00103848,1,0.004193009
1,6,402400,6001402400,D,D8,17,17,36084,,,6680,Oakland,CA,2019,Polygon,1.677309005,0.010365696,1,0.133592626
1,6,423700,6001423700,B,B8,17,17,36084,,,6681,Oakland,CA,2019,MultiPolygon,0.464798786,0.217964348,1,0.352652591
1,6,404300,6001404300,C,C16,17,17,36084,,,6683,Oakland,CA,2019,Polygon,0.664114926,0.224662762,1,0.208201793
1,6,404200,6001404200,C,C16,17,17,36084,,,6683,Oakland,CA,2019,Polygon,0.664114926,0.000670277,1,0.000422482
1,6,404800,6001404800,A,A,17,17,36084,,,6690,Oakland,CA,2019,Polygon,2.691419229,0.000294536,0,0.003267214
1,6,426100,6001426100,A,A7,17,17,36084,,,6692,Oakland,CA,2019,Polygon,0.596799043,0.87287149,1,0.451064261
1,6,406700,6001406700,B,B26,17,17,36084,,,6695,Oakland,CA,2019,Polygon,0.091567316,0.643891039,1,0.090694562
1,6,403900,6001403900,B,B18,17,17,36084,,,6704,Oakland,CA,2019,Polygon,0.167192079,0.208676729,1,0.182431027
1,6,405500,6001405500,B,B20,17,17,36084,,,6705,Oakland,CA,2019,MultiPolygon,0.136569375,0.002036336,1,0.001749436
1,6,405200,6001405200,B,B21,17,17,36084,,,6709,Oakland,CA,2019,Polygon,0.274396067,0.038274547,1,0.031844342
1,6,403800,6001403800,B,B21,17,17,36084,,,6709,Oakland,CA,2019,Polygon,0.274396067,0.00026813,1,0.000290311
1,6,426100,6001426100,B,B21,17,17,36084,,,6709,Oakland,CA,2019,Polygon,0.274396067,0.017059748,1,0.004053316
1,6,405302,6001405302,C,C17,17,17,36084,,,6711,Oakland,CA,2019,Polygon,0.17999977,0.03183979,1,0.07335718
1,6,405000,6001405000,C,C15,17,17,36084,,,6712,Oakland,CA,2019,Polygon,0.274434295,0.018634087,1,0.01632789
1,6,407800,6001407800,C,C23,17,17,36084,,,6724,Oakland,CA,2019,Polygon,0.733515916,0.077780591,1,0.119691161
1,6,408200,6001408200,C,C25,17,17,36084,,,6723,Oakland,CA,2019,Polygon,1.266125372,0.000142906,1,0.000519684
1,6,406800,6001406800,C,C25,17,17,36084,,,6723,Oakland,CA,2019,MultiPolygon,1.266125372,0.068724753,1,0.246969268
1,6,408700,6001408700,B,B31,17,17,36084,,,6746,Oakland,CA,2019,Polygon,0.5434196,0.00271947,1,0.003384168
1,6,406700,6001406700,C,C25,17,17,36084,,,6723,Oakland,CA,2019,MultiPolygon,1.266125372,0.000966571,1,0.001882517
1,6,408500,6001408500,B,B36,17,17,36084,,,6732,Oakland,CA,2019,Polygon,0.10852644,0.135665981,1,0.04586875
1,6,432100,6001432100,C,C31,17,17,36084,,,6737,Oakland,CA,2019,Polygon,0.045904034,1,1,0.110357006
1,6,408400,6001408400,C,C30,17,17,36084,,,6738,Oakland,CA,2019,Polygon,0.603061365,7.49E-05,1,0.000215645
1,6,432800,6001432800,C,C33,17,17,36084,,,6743,Oakland,CA,2019,Polygon,0.466062153,0.000402778,1,0.000132782
1,6,409800,6001409800,B,B38,17,17,36084,,,6745,Oakland,CA,2019,Polygon,0.893183911,0.188072906,2,0.243056947
1,6,408700,6001408700,C,C26,17,17,36084,,,6747,Oakland,CA,2019,Polygon,0.421445638,0.368498178,1,0.355638877
1,6,410300,6001410300,D,D18,17,17,36084,,,6751,Oakland,CA,2019,Polygon,2.577251588,0.013498013,1,0.155794792
1,6,409700,6001409700,D,D18,17,17,36084,,,6751,Oakland,CA,2019,Polygon,2.577251588,0.002921194,1,0.024034389
1,6,407300,6001407300,B,B46,17,17,36084,,,6758,Oakland,CA,2019,Polygon,0.101063413,0.031845903,1,0.00319382
1,6,420400,6001420400,C,C1,17,17,36084,,,6773,Oakland,CA,2019,Polygon,0.38495568,0.003675167,1,0.001336703
1,6,400300,6001400300,C,C9,17,17,36084,,,6764,Oakland,CA,2019,MultiPolygon,0.468681993,0.064052506,1,0.070343132
1,6,400600,6001400600,B,B10,17,17,36084,,,6766,Oakland,CA,2019,Polygon,0.039108476,0.865036817,1,0.294170123
1,6,421900,6001421900,C,C1,17,17,36084,,,6773,Oakland,CA,2019,MultiPolygon,0.38495568,0.019952139,1,0.023218391
1,6,422900,6001422900,D,D2,17,17,36084,,,6774,Oakland,CA,2019,MultiPolygon,0.743028476,0.000494452,1,0.001748251
1,6,407900,6001407900,C,C24,17,17,36084,,,6775,Oakland,CA,2019,Polygon,0.470032875,0.003853017,1,0.004266548
1,6,406500,6001406500,C,C24,17,17,36084,,,6775,Oakland,CA,2019,Polygon,0.470032875,0.006767567,1,0.011057933
1,6,400700,6001400700,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.007322375,1,0.010962555
1,6,421500,6001421500,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.19799014,1,0.238044871
1,6,421600,6001421600,D,D1,17,17,36084,,,6664,Oakland,CA,2019,Polygon,0.087068132,0.100536522,1,0.017042237
1,6,400100,6001400100,A,A3,17,17,36084,,,6665,Oakland,CA,2019,Polygon,0.500162874,0.004994133,1,0.000940028
1,6,422600,6001422600,A,A3,17,17,36084,,,6665,Oakland,CA,2019,Polygon,0.500162874,0.002862165,1,0.002158119
1,6,422300,6001422300,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,1.16E-05,1,2.01E-05
1,6,420500,6001420500,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,0.001724809,1,0.004022664
1,6,421700,6001421700,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.122080229,1,0.279592218
1,6,421300,6001421300,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.357937856,1,0.425069326
1,6,422600,6001422600,B,B5,17,17,36084,,,6668,Oakland,CA,2019,MultiPolygon,0.427332834,0.001564239,1,0.001007717
1,6,421900,6001421900,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.000114204,1,8.78E-05
1,6,423602,6001423602,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.001681868,1,0.009435727
1,6,423901,6001423901,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.006441638,1,0.036884518
1,6,422800,6001422800,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.00046601,1,0.001503565
1,6,402600,6001402600,D,D9,17,17,36084,,,6677,Oakland,CA,2019,Polygon,0.517818404,0.166365898,1,0.700037589
1,6,401400,6001401400,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,0.147481914,1,0.506241242
1,6,424002,6001424002,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,0.000948807,1,0.00746985
1,6,423601,6001423601,B,B8,17,17,36084,,,6681,Oakland,CA,2019,Polygon,0.464798786,0.142611757,1,0.327132115
1,6,400200,6001400200,B,B8,17,17,36084,,,6681,Oakland,CA,2019,Polygon,0.464798786,0.012402469,1,0.02508877
1,6,404502,6001404502,C,C16,17,17,36084,,,6683,Oakland,CA,2019,MultiPolygon,0.664114926,0.000474898,1,0.00026595
1,6,404300,6001404300,A,A5,17,17,36084,,,6684,Oakland,CA,2019,Polygon,0.192776402,1,1,0.269007259
1,6,426100,6001426100,B,B12,17,17,36084,,,6685,Oakland,CA,2019,Polygon,0.573773212,0.000258108,1,0.000128234
1,6,404400,6001404400,B,B12,17,17,36084,,,6685,Oakland,CA,2019,Polygon,0.573773212,0.041915247,1,0.015101532
1,6,400300,6001400300,B,B11,17,17,36084,,,6687,Oakland,CA,2019,MultiPolygon,0.340142127,0.00312363,1,0.002489587
1,6,404400,6001404400,A,A6,17,17,36084,,,6689,Oakland,CA,2019,Polygon,0.439684346,0.001901148,1,0.000524887
1,6,405000,6001405000,C,C17,17,17,36084,,,6711,Oakland,CA,2019,Polygon,0.17999977,0.123565594,1,0.071015485
1,6,403800,6001403800,C,C15,17,17,36084,,,6712,Oakland,CA,2019,Polygon,0.274434295,0.002555088,1,0.002766838
1,6,404700,6001404700,A,A,17,17,36084,,,6690,Oakland,CA,2019,Polygon,2.691419229,0.0906039,0,0.523713312
1,6,404900,6001404900,A,A,17,17,36084,,,6690,Oakland,CA,2019,Polygon,2.691419229,0.000354481,0,0.002442012
1,6,426100,6001426100,A,A,17,17,36084,,,6690,Oakland,CA,2019,MultiPolygon,2.691419229,0.000609356,0,0.00142008
1,6,406900,6001406900,B,B30,17,17,36084,,,6693,Oakland,CA,2019,Polygon,0.090340381,0.595744184,1,0.159680369
1,6,404800,6001404800,B,B26,17,17,36084,,,6695,Oakland,CA,2019,Polygon,0.091567316,0.356108964,1,0.134394479
1,6,406700,6001406700,B,B22,17,17,36084,,,6696,Oakland,CA,2019,Polygon,0.145429077,0.00764655,1,0.001710587
1,6,426200,6001426200,B,B16,17,17,36084,,,6700,Oakland,CA,2019,Polygon,0.074238256,0.020414245,1,0.002899397
1,6,404700,6001404700,A,A8,17,17,36084,,,6702,Oakland,CA,2019,MultiPolygon,0.463431588,0.00364436,1,0.003627207
1,6,406700,6001406700,B,B27,17,17,36084,,,6707,Oakland,CA,2019,Polygon,0.089483761,0.019885083,1,0.002737159
1,6,406800,6001406800,B,B28,17,17,36084,,,6708,Oakland,CA,2019,MultiPolygon,0.064363075,0.237918995,1,0.043462921
1,6,405302,6001405302,C,C15,17,17,36084,,,6712,Oakland,CA,2019,Polygon,0.274434295,0.033488651,1,0.11763499
1,6,403800,6001403800,A,A9,17,17,36084,,,6713,Oakland,CA,2019,Polygon,0.229020093,0.000286516,1,0.000258918
1,6,405100,6001405100,A,A9,17,17,36084,,,6713,Oakland,CA,2019,Polygon,0.229020093,0.933822414,1,0.437631683
1,6,426100,6001426100,B,B23,17,17,36084,,,6715,Oakland,CA,2019,Polygon,0.626622865,0.002814107,1,0.001526887
1,6,405500,6001405500,C,C19,17,17,36084,,,6718,Oakland,CA,2019,Polygon,0.801882008,0.088558434,1,0.44672043
1,6,404900,6001404900,C,C19,17,17,36084,,,6718,Oakland,CA,2019,Polygon,0.801882008,0.006008375,1,0.012332225
1,6,406202,6001406202,C,C20,17,17,36084,,,6720,Oakland,CA,2019,Polygon,0.218236835,0.462814867,1,0.667035117
1,6,408000,6001408000,C,C25,17,17,36084,,,6723,Oakland,CA,2019,Polygon,1.266125372,0.040176554,1,0.068563692
1,6,407800,6001407800,C,C25,17,17,36084,,,6723,Oakland,CA,2019,Polygon,1.266125372,0.051036707,1,0.135562841
1,6,408300,6001408300,C,C25,17,17,36084,,,6723,Oakland,CA,2019,Polygon,1.266125372,0.001790754,1,0.003859142
1,6,407900,6001407900,C,C23,17,17,36084,,,6724,Oakland,CA,2019,Polygon,0.733515916,0.001959753,1,0.003386558
1,6,406500,6001406500,C,C23,17,17,36084,,,6724,Oakland,CA,2019,Polygon,0.733515916,0.027696904,1,0.070624255
1,6,409800,6001409800,C,C27,17,17,36084,,,6727,Oakland,CA,2019,Polygon,0.273916193,0.010235144,1,0.00405651
1,6,408700,6001408700,C,C28,17,17,36084,,,6731,Oakland,CA,2019,Polygon,0.381870493,0.032905099,1,0.028774755
1,6,408600,6001408600,B,B34,17,17,36084,,,6734,Oakland,CA,2019,Polygon,0.173799891,0.576040434,1,0.244378958
1,6,432200,6001432200,C,C30,17,17,36084,,,6738,Oakland,CA,2019,Polygon,0.603061365,0.001430455,1,0.002182301
1,6,410400,6001410400,B,B40,17,17,36084,,,6739,Oakland,CA,2019,Polygon,0.310237011,0.000142223,1,0.000161728
1,6,410000,6001410000,B,B42,17,17,36084,,,6740,Oakland,CA,2019,Polygon,0.289272214,0.000436394,1,4.72E-05
1,6,432300,6001432300,B,B41,17,17,36084,,,6742,Oakland,CA,2019,Polygon,0.117962601,1,1,0.294295519
1,6,432200,6001432200,C,C33,17,17,36084,,,6743,Oakland,CA,2019,MultiPolygon,0.466062153,0.000373623,1,0.000440511
1,6,432600,6001432600,C,C33,17,17,36084,,,6743,Oakland,CA,2019,MultiPolygon,0.466062153,0.599680369,1,0.432564015
1,6,432200,6001432200,B,B39,17,17,36084,,,6744,Oakland,CA,2019,Polygon,0.056319029,0.036970383,1,0.005267299
1,6,410400,6001410400,B,B39,17,17,36084,,,6744,Oakland,CA,2019,Polygon,0.056319029,0.963029451,1,0.198800137
1,6,405402,6001405402,D,D11,17,17,36084,,,6750,Oakland,CA,2019,Polygon,0.690767397,0.000242448,1,0.001519999
1,6,408500,6001408500,D,D18,17,17,36084,,,6751,Oakland,CA,2019,MultiPolygon,2.577251588,0.021857851,1,0.175499012
1,6,427100,6001427100,B,B46,17,17,36084,,,6758,Oakland,CA,2019,Polygon,0.101063413,0.751578531,1,0.174411103
1,6,406100,6001406100,C,C40,17,17,36084,,,6762,Oakland,CA,2019,MultiPolygon,0.539280742,0.004434552,1,0.003171099
1,6,400200,6001400200,C,C9,17,17,36084,,,6764,Oakland,CA,2019,Polygon,0.468681993,0.001201658,1,0.002451125
1,6,404300,6001404300,C,C10,17,17,36084,,,6767,Oakland,CA,2019,MultiPolygon,0.526523345,0.008890439,1,0.006532072
1,6,403701,6001403701,C,C14,17,17,36084,,,6770,Oakland,CA,2019,Polygon,0.159715227,0.000475371,1,0.001130482
1,6,401400,6001401400,C,C11,17,17,36084,,,6772,Oakland,CA,2019,Polygon,0.370900031,0.037504861,1,0.047664588
1,6,408600,6001408600,C,C26,17,17,36084,,,6747,Oakland,CA,2019,Polygon,0.421445638,0.028852425,1,0.029681458
1,6,432100,6001432100,C,C30,17,17,36084,,,6738,Oakland,CA,2019,Polygon,0.603061365,4.58E-05,1,6.64E-05
1,6,404102,6001404102,B,B14,17,17,36084,,,6701,Oakland,CA,2019,Polygon,0.253936109,0.000295266,1,0.00084369
1,6,420500,6001420500,B,B3,17,17,36084,,,6660,Oakland,CA,2019,Polygon,0.301800918,0.069885088,1,0.131221799
1,6,421900,6001421900,B,B6,17,17,36084,,,6661,Oakland,CA,2019,Polygon,0.032875577,0.999999719,1,0.099381415
1,6,420300,6001420300,C,C2,17,17,36084,,,6657,Oakland,CA,2019,Polygon,0.096346412,0.989271698,1,0.102282448
1,6,420400,6001420400,C,C2,17,17,36084,,,6657,Oakland,CA,2019,Polygon,0.096346412,0.010728433,1,0.000976605
1,6,420100,6001420100,B,B2,17,17,36084,,,6658,Oakland,CA,2019,Polygon,0.225212508,0.832093203,1,0.878519257
1,6,420200,6001420200,B,B2,17,17,36084,,,6658,Oakland,CA,2019,Polygon,0.225212508,0.153168175,1,0.193147317
1,6,421300,6001421300,B,B2,17,17,36084,,,6658,Oakland,CA,2019,Polygon,0.225212508,0.012369409,1,0.006519816
1,6,421900,6001421900,B,B3,17,17,36084,,,6660,Oakland,CA,2019,Polygon,0.301800918,0.01849045,1,0.016869413
1,6,405902,6001405902,C,C18,17,17,36084,,,6717,Oakland,CA,2019,Polygon,0.28696851,0.000518805,1,0.000791335
1,6,420600,6001420600,B,B3,17,17,36084,,,6660,Oakland,CA,2019,Polygon,0.301800918,0.901526459,1,0.892656258
1,6,421300,6001421300,B,B3,17,17,36084,,,6660,Oakland,CA,2019,Polygon,0.301800918,0.010098004,1,0.007132635
1,6,421200,6001421200,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.46090476,1,0.651698954
1,6,425103,6001425103,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,0.005468169,1,0.016086649
1,6,421300,6001421300,A,A2,17,17,36084,,,6663,Oakland,CA,2019,Polygon,0.2570575,0.459255887,1,0.276298741
1,6,422400,6001422400,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.051989964,1,0.145163303
1,6,421100,6001421100,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.312348094,1,0.803105918
1,6,421400,6001421400,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.017100858,1,0.069041962
1,6,421200,6001421200,A,A2,17,17,36084,,,6663,Oakland,CA,2019,Polygon,0.2570575,0.523994486,1,0.257339367
1,6,421800,6001421800,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.256653935,1,0.638236582
1,6,421200,6001421200,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.038910501,1,0.037720226
1,6,421900,6001421900,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.071594673,1,0.109817326
1,6,420600,6001420600,B,B4,17,17,36084,,,6667,Oakland,CA,2019,MultiPolygon,0.507409085,0.013096706,1,0.021802462
1,6,422500,6001422500,B,B5,17,17,36084,,,6668,Oakland,CA,2019,MultiPolygon,0.427332834,0.040719353,1,0.097902459
1,6,422500,6001422500,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.312534152,1,0.901517855
1,6,421600,6001421600,C,C5,17,17,36084,,,6670,Oakland,CA,2019,MultiPolygon,0.512684728,0.003331946,1,0.003325767
1,6,421700,6001421700,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.056698516,1,0.131202942
1,6,421600,6001421600,A,A3,17,17,36084,,,6665,Oakland,CA,2019,MultiPolygon,0.500162874,0.529647064,1,0.515752732
1,6,421400,6001421400,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.139726098,1,0.386762535
1,6,422400,6001422400,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.028151216,1,0.06551645
1,6,425104,6001425104,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,0.002492963,1,0.006011706
1,6,405600,6001405600,B,B20,17,17,36084,,,6705,Oakland,CA,2019,Polygon,0.136569375,0.009452027,1,0.007797391
1,6,421500,6001421500,A,A3,17,17,36084,,,6665,Oakland,CA,2019,Polygon,0.500162874,0.459580187,1,0.373423302
1,6,422200,6001422200,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,0.407373922,1,0.586101408
1,6,421900,6001421900,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,0.590889558,1,0.66959167
1,6,423902,6001423902,C,C7,17,17,36084,,,6676,Oakland,CA,2019,MultiPolygon,0.508972394,0.077608368,1,0.319916246
1,6,421600,6001421600,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.534124211,1,0.444377481
1,6,421700,6001421700,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.09752218,1,0.188101028
1,6,421500,6001421500,B,B5,17,17,36084,,,6668,Oakland,CA,2019,MultiPolygon,0.427332834,0.040180224,1,0.027893774
1,6,421400,6001421400,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.233442573,1,0.544195505
1,6,422300,6001422300,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.240314921,1,0.282595404
1,6,421800,6001421800,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.278447676,1,0.347000865
1,6,400100,6001400100,C,C5,17,17,36084,,,6670,Oakland,CA,2019,Polygon,0.512684728,0.006385649,1,0.00123204
1,6,422600,6001422600,C,C5,17,17,36084,,,6670,Oakland,CA,2019,MultiPolygon,0.512684728,0.569059505,1,0.439822391
1,6,404501,6001404501,B,B12,17,17,36084,,,6685,Oakland,CA,2019,MultiPolygon,0.573773212,0.000429408,1,0.000572988
1,6,400100,6001400100,B,B7,17,17,36084,,,6671,Oakland,CA,2019,Polygon,0.523784276,0.838223402,1,0.16522725
1,6,422700,6001422700,B,B7,17,17,36084,,,6671,Oakland,CA,2019,Polygon,0.523784276,0.13396023,1,0.527743227
1,6,422600,6001422600,B,B7,17,17,36084,,,6671,Oakland,CA,2019,Polygon,0.523784276,0.027816257,1,0.021964455
1,6,422000,6001422000,D,D3,17,17,36084,,,6672,Oakland,CA,2019,MultiPolygon,1.38031327,0.744138967,1,0.256721529
1,6,425103,6001425103,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.004955915,1,0.020088975
1,6,423200,6001423200,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.117531427,1,0.919875246
1,6,400800,6001400800,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.001094912,1,0.005630254
1,6,422100,6001422100,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.131528115,1,0.854206279
1,6,420400,6001420400,D,D3,17,17,36084,,,6672,Oakland,CA,2019,MultiPolygon,1.38031327,4.27E-05,1,5.57E-05
1,6,423700,6001423700,C,C6,17,17,36084,,,6673,Oakland,CA,2019,Polygon,0.248860724,0.310349988,1,0.268846709
1,6,423602,6001423602,C,C6,17,17,36084,,,6673,Oakland,CA,2019,MultiPolygon,0.248860724,0.002694273,1,0.004307275
1,6,423601,6001423601,C,C6,17,17,36084,,,6673,Oakland,CA,2019,Polygon,0.248860724,0.000447212,1,0.000549253
1,6,422700,6001422700,C,C6,17,17,36084,,,6673,Oakland,CA,2019,Polygon,0.248860724,0.236891744,1,0.443405029
1,6,422800,6001422800,C,C6,17,17,36084,,,6673,Oakland,CA,2019,MultiPolygon,0.248860724,0.446300378,1,0.704070711
